"data","code_region","name_region","lat","long","new_cases","total_cases"
2023-09-25,14,"Molise",41.55774754,14.65916051,0,0
2023-09-25,21,"AP Bolzano",46.49933453,11.35662422,0,3
2023-09-25,22,"AP Trento",46.06893511,11.12123097,0,0
2023-09-25,1,"Piemonte",45.0732745,7.680687483,2,25
2023-09-25,16,"Puglia",41.12559576,16.86736689,0,0
2023-09-25,20,"Sardegna",39.21531192,9.110616306,0,0
2023-09-25,19,"Sicilia",38.11569725,13.3623566999999,0,0
2023-09-25,9,"Toscana",43.76923077,11.25588885,2,8
2023-09-25,10,"Umbria",43.10675841,12.38824698,1,3
2023-09-25,2,"Val d'Aosta",45.73750286,7.320149366,0,0
2023-09-25,5,"Veneto",45.43490485,12.33845213,0,25
2023-10-02,13,"Abruzzo",42.35122196,13.39843823,0,1
2023-10-02,17,"Basilicata",40.63947052,15.80514834,0,0
2023-10-02,18,"Calabria",38.90597598,16.59440194,0,0
2023-10-02,15,"Campania",40.83956555,14.25084984,0,4
2023-10-02,8,"Emilia Romagna",44.49436681,11.3417208,2,35
2023-10-02,6,"Friuli-Venezia Giulia",45.6494354,13.76813649,1,3
2023-10-02,12,"Lazio",41.89277044,12.48366722,6,54
2023-10-02,7,"Liguria",44.41149315,8.9326992,0,1
2023-10-02,3,"Lombardia",45.46679409,9.190347404,2,83
2023-10-02,11,"Marche",43.61675973,13.5188753,0,3
2023-10-02,14,"Molise",41.55774754,14.65916051,0,0
2023-10-02,21,"AP Bolzano",46.49933453,11.35662422,0,3
2023-10-02,22,"AP Trento",46.06893511,11.12123097,0,0
2023-10-02,1,"Piemonte",45.0732745,7.680687483,0,25
2023-10-02,16,"Puglia",41.12559576,16.86736689,0,0
2023-10-02,20,"Sardegna",39.21531192,9.110616306,0,0
2023-10-02,19,"Sicilia",38.11569725,13.3623566999999,1,1
2023-10-02,9,"Toscana",43.76923077,11.25588885,1,9
2023-10-02,10,"Umbria",43.10675841,12.38824698,0,3
2023-10-02,2,"Val d'Aosta",45.73750286,7.320149366,0,0
2023-10-02,5,"Veneto",45.43490485,12.33845213,0,25
2023-10-09,13,"Abruzzo",42.35122196,13.39843823,0,1
2023-10-09,17,"Basilicata",40.63947052,15.80514834,0,0
2023-10-09,18,"Calabria",38.90597598,16.59440194,0,0
2023-10-09,15,"Campania",40.83956555,14.25084984,0,4
2023-10-09,8,"Emilia Romagna",44.49436681,11.3417208,0,35
2023-10-09,6,"Friuli-Venezia Giulia",45.6494354,13.76813649,0,3
2023-10-09,12,"Lazio",41.89277044,12.48366722,6,60
2023-10-09,7,"Liguria",44.41149315,8.9326992,0,1
2023-10-09,3,"Lombardia",45.46679409,9.190347404,3,86
2023-10-09,11,"Marche",43.61675973,13.5188753,0,3
2023-10-09,14,"Molise",41.55774754,14.65916051,0,0
2023-10-09,21,"AP Bolzano",46.49933453,11.35662422,0,3
2023-10-09,22,"AP Trento",46.06893511,11.12123097,0,0
2023-10-09,1,"Piemonte",45.0732745,7.680687483,1,26
2023-10-09,16,"Puglia",41.12559576,16.86736689,0,0
2023-10-09,20,"Sardegna",39.21531192,9.110616306,0,0
2023-10-09,19,"Sicilia",38.11569725,13.3623566999999,0,1
2023-10-09,9,"Toscana",43.76923077,11.25588885,1,10
2023-10-09,10,"Umbria",43.10675841,12.38824698,0,3
2023-10-09,2,"Val d'Aosta",45.73750286,7.320149366,0,0
2023-10-09,5,"Veneto",45.43490485,12.33845213,0,25
2023-10-16,13,"Abruzzo",42.35122196,13.39843823,0,1
2023-10-16,17,"Basilicata",40.63947052,15.80514834,0,0
2023-10-16,18,"Calabria",38.90597598,16.59440194,0,0
2023-10-16,15,"Campania",40.83956555,14.25084984,0,4
2023-10-16,8,"Emilia Romagna",44.49436681,11.3417208,1,36
2023-10-16,6,"Friuli-Venezia Giulia",45.6494354,13.76813649,0,3
2023-10-16,12,"Lazio",41.89277044,12.48366722,8,68
2023-10-16,7,"Liguria",44.41149315,8.9326992,0,1
2023-10-16,3,"Lombardia",45.46679409,9.190347404,3,89
2023-10-16,11,"Marche",43.61675973,13.5188753,0,3
2023-10-16,14,"Molise",41.55774754,14.65916051,0,0
2023-10-16,21,"AP Bolzano",46.49933453,11.35662422,0,3
2023-10-16,22,"AP Trento",46.06893511,11.12123097,0,0
2023-10-16,1,"Piemonte",45.0732745,7.680687483,0,26
2023-10-16,16,"Puglia",41.12559576,16.86736689,0,0
2023-10-16,20,"Sardegna",39.21531192,9.110616306,0,0
2023-10-16,19,"Sicilia",38.11569725,13.3623566999999,0,1
2023-10-16,9,"Toscana",43.76923077,11.25588885,0,10
2023-10-16,10,"Umbria",43.10675841,12.38824698,0,3
2023-10-16,2,"Val d'Aosta",45.73750286,7.320149366,0,0
2023-10-16,5,"Veneto",45.43490485,12.33845213,0,25
