"data","code_region","name_region","lat","long","new_cases","total_cases"
2023-09-04,13,"Abruzzo",42.35122196,13.39843823,1,1
2023-09-04,17,"Basilicata",40.63947052,15.80514834,0,0
2023-09-04,18,"Calabria",38.90597598,16.59440194,0,0
2023-09-04,15,"Campania",40.83956555,14.25084984,1,1
2023-09-04,8,"Emilia Romagna",44.49436681,11.3417208,24,24
2023-09-04,6,"Friuli-Venezia Giulia",45.6494354,13.76813649,0,0
2023-09-04,12,"Lazio",41.89277044,12.48366722,23,23
2023-09-04,7,"Liguria",44.41149315,8.9326992,1,1
2023-09-04,3,"Lombardia",45.46679409,9.190347404,35,35
2023-09-04,11,"Marche",43.61675973,13.5188753,1,1
2023-09-04,14,"Molise",41.55774754,14.65916051,0,0
2023-09-04,21,"AP Bolzano",46.49933453,11.35662422,1,1
2023-09-04,22,"AP Trento",46.06893511,11.12123097,0,0
2023-09-04,1,"Piemonte",45.0732745,7.680687483,19,19
2023-09-04,16,"Puglia",41.12559576,16.86736689,0,0
2023-09-04,20,"Sardegna",39.21531192,9.110616306,0,0
2023-09-04,19,"Sicilia",38.11569725,13.3623566999999,0,0
2023-09-04,9,"Toscana",43.76923077,11.25588885,5,5
2023-09-04,10,"Umbria",43.10675841,12.38824698,2,2
2023-09-04,2,"Val d'Aosta",45.73750286,7.320149366,0,0
2023-09-04,5,"Veneto",45.43490485,12.33845213,18,18
2023-09-11,13,"Abruzzo",42.35122196,13.39843823,0,1
2023-09-11,17,"Basilicata",40.63947052,15.80514834,0,0
2023-09-11,18,"Calabria",38.90597598,16.59440194,0,0
2023-09-11,15,"Campania",40.83956555,14.25084984,1,2
2023-09-11,8,"Emilia Romagna",44.49436681,11.3417208,3,27
2023-09-11,6,"Friuli-Venezia Giulia",45.6494354,13.76813649,2,2
2023-09-11,12,"Lazio",41.89277044,12.48366722,5,28
2023-09-11,7,"Liguria",44.41149315,8.9326992,0,1
2023-09-11,3,"Lombardia",45.46679409,9.190347404,15,50
2023-09-11,11,"Marche",43.61675973,13.5188753,0,1
2023-09-11,14,"Molise",41.55774754,14.65916051,0,0
2023-09-11,21,"AP Bolzano",46.49933453,11.35662422,2,3
2023-09-11,22,"AP Trento",46.06893511,11.12123097,0,0
2023-09-11,1,"Piemonte",45.0732745,7.680687483,3,22
2023-09-11,16,"Puglia",41.12559576,16.86736689,0,0
2023-09-11,20,"Sardegna",39.21531192,9.110616306,0,0
2023-09-11,19,"Sicilia",38.11569725,13.3623566999999,0,0
2023-09-11,9,"Toscana",43.76923077,11.25588885,1,6
2023-09-11,10,"Umbria",43.10675841,12.38824698,0,2
2023-09-11,2,"Val d'Aosta",45.73750286,7.320149366,0,0
2023-09-11,5,"Veneto",45.43490485,12.33845213,2,20
2023-09-19,13,"Abruzzo",42.35122196,13.39843823,0,1
2023-09-19,17,"Basilicata",40.63947052,15.80514834,0,0
2023-09-19,18,"Calabria",38.90597598,16.59440194,0,0
2023-09-19,15,"Campania",40.83956555,14.25084984,2,4
2023-09-19,8,"Emilia Romagna",44.49436681,11.3417208,4,31
2023-09-19,6,"Friuli-Venezia Giulia",45.6494354,13.76813649,0,2
2023-09-19,12,"Lazio",41.89277044,12.48366722,8,36
2023-09-19,7,"Liguria",44.41149315,8.9326992,0,1
2023-09-19,3,"Lombardia",45.46679409,9.190347404,21,71
2023-09-19,11,"Marche",43.61675973,13.5188753,2,3
2023-09-19,14,"Molise",41.55774754,14.65916051,0,0
2023-09-19,21,"AP Bolzano",46.49933453,11.35662422,0,3
2023-09-19,22,"AP Trento",46.06893511,11.12123097,0,0
2023-09-19,1,"Piemonte",45.0732745,7.680687483,1,23
2023-09-19,16,"Puglia",41.12559576,16.86736689,0,0
2023-09-19,20,"Sardegna",39.21531192,9.110616306,0,0
2023-09-19,19,"Sicilia",38.11569725,13.3623566999999,0,0
2023-09-19,9,"Toscana",43.76923077,11.25588885,0,6
2023-09-19,10,"Umbria",43.10675841,12.38824698,0,2
2023-09-19,2,"Val d'Aosta",45.73750286,7.320149366,0,0
2023-09-19,5,"Veneto",45.43490485,12.33845213,5,25
2023-09-25,13,"Abruzzo",42.35122196,13.39843823,0,1
2023-09-25,17,"Basilicata",40.63947052,15.80514834,0,0
2023-09-25,18,"Calabria",38.90597598,16.59440194,0,0
2023-09-25,15,"Campania",40.83956555,14.25084984,0,4
2023-09-25,8,"Emilia Romagna",44.49436681,11.3417208,2,33
2023-09-25,6,"Friuli-Venezia Giulia",45.6494354,13.76813649,0,2
2023-09-25,12,"Lazio",41.89277044,12.48366722,12,48
2023-09-25,7,"Liguria",44.41149315,8.9326992,0,1
2023-09-25,3,"Lombardia",45.46679409,9.190347404,10,81
2023-09-25,11,"Marche",43.61675973,13.5188753,0,3
