"data","new_cases","total_cases","new_deaths","total_deaths","male","female","median_age","autochthonous","imported"
2023-06-30,"4",4,0,0,"50","50",43,0,4
2023-09-11,"NA",3,0,0,"66.67","33.33",41,0,3
2023-10-09,"1",4,0,0,"50","50",31,0,4
