"data","code_region","name_region","lat","long","new_cases","total_cases","autochthonous_cases","imported_cases"
2024-08-06,12,"Lazio",41.89277044,12.48366722,0,48,48,0
2024-08-06,7,"Liguria",44.41149315,8.9326992,0,10,10,0
2024-08-06,3,"Lombardy",45.46679409,9.190347404,1,44,44,0
2024-08-06,11,"Marche",43.61675973,13.5188753,0,3,3,0
2024-08-06,14,"Molise",41.55774754,14.65916051,0,0,0,0
2024-08-06,21,"Trentino-South Tyrol",46.49933453,11.35662422,0,11,11,0
2024-08-06,1,"Piedmont",45.0732745,7.680687483,0,24,24,0
2024-08-06,16,"Apulia",41.12559576,16.86736689,0,4,4,0
2024-08-06,20,"Sardinia",39.21531192,9.110616306,0,4,4,0
2024-08-06,19,"Sicily",38.11569725,13.3623566999999,0,4,4,0
2024-08-06,9,"Tuscany",43.76923077,11.25588885,0,22,22,0
2024-08-06,10,"Umbria",43.10675841,12.38824698,0,4,4,0
2024-08-06,2,"Aosta Valley",45.73750286,7.320149366,0,0,0,0
2024-08-06,5,"Veneto",45.43490485,12.33845213,0,49,49,0
